fare_id,price,currency_type,payment_method
return-kmzone1-Abbotsdale-Chris Hani,20.0,R,0
return-kmzone1-Chris Hani-Abbotsdale,20.0,R,0
monfri-week-kmzone1-Abbotsdale-Chris Hani,60.0,R,0
monfri-week-kmzone1-Chris Hani-Abbotsdale,60.0,R,0
monsat-week-kmzone1-Abbotsdale-Chris Hani,75.0,R,0
monsat-week-kmzone1-Chris Hani-Abbotsdale,75.0,R,0
month-kmzone1-Abbotsdale-Chris Hani,180.0,R,0
month-kmzone1-Chris Hani-Abbotsdale,180.0,R,0
single-kmzone1-Abbotsdale-Claremont,10.0,R,0
single-kmzone1-Claremont-Abbotsdale,10.0,R,0
return-kmzone1-Abbotsdale-Claremont,20.0,R,0
return-kmzone1-Claremont-Abbotsdale,20.0,R,0
monfri-week-kmzone1-Abbotsdale-Claremont,60.0,R,0
monfri-week-kmzone1-Claremont-Abbotsdale,60.0,R,0
monsat-week-kmzone1-Abbotsdale-Claremont,75.0,R,0
monsat-week-kmzone1-Claremont-Abbotsdale,75.0,R,0
month-kmzone1-Abbotsdale-Claremont,180.0,R,0
month-kmzone1-Claremont-Abbotsdale,180.0,R,0
single-kmzone1-Abbotsdale-Clovelly,10.0,R,0
single-kmzone1-Clovelly-Abbotsdale,10.0,R,0
return-kmzone1-Abbotsdale-Clovelly,20.0,R,0
return-kmzone1-Clovelly-Abbotsdale,20.0,R,0
monfri-week-kmzone1-Abbotsdale-Clovelly,60.0,R,0
monfri-week-kmzone1-Clovelly-Abbotsdale,60.0,R,0
monsat-week-kmzone1-Abbotsdale-Clovelly,75.0,R,0
monsat-week-kmzone1-Clovelly-Abbotsdale,75.0,R,0
month-kmzone1-Abbotsdale-Clovelly,180.0,R,0
month-kmzone1-Clovelly-Abbotsdale,180.0,R,0
single-kmzone1-Abbotsdale-Crawford,10.0,R,0
single-kmzone1-Crawford-Abbotsdale,10.0,R,0
return-kmzone1-Abbotsdale-Crawford,20.0,R,0
return-kmzone1-Crawford-Abbotsdale,20.0,R,0
monfri-week-kmzone1-Abbotsdale-Crawford,60.0,R,0
monfri-week-kmzone1-Crawford-Abbotsdale,60.0,R,0
monsat-week-kmzone1-Abbotsdale-Crawford,75.0,R,0
monsat-week-kmzone1-Crawford-Abbotsdale,75.0,R,0
month-kmzone1-Abbotsdale-Crawford,180.0,R,0
month-kmzone1-Crawford-Abbotsdale,180.0,R,0
single-kmzone1-Abbotsdale-Dal Josafat,10.0,R,0
single-kmzone1-Dal Josafat-Abbotsdale,10.0,R,0
return-kmzone1-Abbotsdale-Dal Josafat,20.0,R,0
return-kmzone1-Dal Josafat-Abbotsdale,20.0,R,0
monfri-week-kmzone1-Abbotsdale-Dal Josafat,60.0,R,0
monfri-week-kmzone1-Dal Josafat-Abbotsdale,60.0,R,0
monsat-week-kmzone1-Abbotsdale-Dal Josafat,75.0,R,0
monsat-week-kmzone1-Dal Josafat-Abbotsdale,75.0,R,0
month-kmzone1-Abbotsdale-Dal Josafat,180.0,R,0
month-kmzone1-Dal Josafat-Abbotsdale,180.0,R,0
single-kmzone4-Abbotsdale-De Grendel,15.0,R,0
single-kmzone4-De Grendel-Abbotsdale,15.0,R,0
return-kmzone4-Abbotsdale-De Grendel,30.0,R,0
return-kmzone4-De Grendel-Abbotsdale,30.0,R,0
monfri-week-kmzone4-Abbotsdale-De Grendel,90.0,R,0
monfri-week-kmzone4-De Grendel-Abbotsdale,90.0,R,0
monsat-week-kmzone4-Abbotsdale-De Grendel,120.0,R,0
monsat-week-kmzone4-De Grendel-Abbotsdale,120.0,R,0
