fare_id,origin_id,destination_id
monsat-week-kmzone4-Abbotsdale-Brackenfell,Abbotsdale,Brackenfell
monsat-week-kmzone4-Brackenfell-Abbotsdale,Brackenfell,Abbotsdale
month-kmzone4-Abbotsdale-Brackenfell,Abbotsdale,Brackenfell
month-kmzone4-Brackenfell-Abbotsdale,Brackenfell,Abbotsdale
single-kmzone1-Abbotsdale-Century City,Abbotsdale,Century City
single-kmzone1-Century City-Abbotsdale,Century City,Abbotsdale
return-kmzone1-Abbotsdale-Century City,Abbotsdale,Century City
return-kmzone1-Century City-Abbotsdale,Century City,Abbotsdale
monfri-week-kmzone1-Abbotsdale-Century City,Abbotsdale,Century City
monfri-week-kmzone1-Century City-Abbotsdale,Century City,Abbotsdale
monsat-week-kmzone1-Abbotsdale-Century City,Abbotsdale,Century City
monsat-week-kmzone1-Century City-Abbotsdale,Century City,Abbotsdale
month-kmzone1-Abbotsdale-Century City,Abbotsdale,Century City
month-kmzone1-Century City-Abbotsdale,Century City,Abbotsdale
single-kmzone1-Abbotsdale-Chris Hani,Abbotsdale,Chris Hani
single-kmzone1-Chris Hani-Abbotsdale,Chris Hani,Abbotsdale
return-kmzone1-Abbotsdale-Chris Hani,Abbotsdale,Chris Hani
return-kmzone1-Chris Hani-Abbotsdale,Chris Hani,Abbotsdale
monfri-week-kmzone1-Abbotsdale-Chris Hani,Abbotsdale,Chris Hani
monfri-week-kmzone1-Chris Hani-Abbotsdale,Chris Hani,Abbotsdale
monsat-week-kmzone1-Abbotsdale-Chris Hani,Abbotsdale,Chris Hani
monsat-week-kmzone1-Chris Hani-Abbotsdale,Chris Hani,Abbotsdale
month-kmzone1-Abbotsdale-Chris Hani,Abbotsdale,Chris Hani
month-kmzone1-Chris Hani-Abbotsdale,Chris Hani,Abbotsdale
single-kmzone1-Abbotsdale-Claremont,Abbotsdale,Claremont
single-kmzone1-Claremont-Abbotsdale,Claremont,Abbotsdale
return-kmzone1-Abbotsdale-Claremont,Abbotsdale,Claremont
return-kmzone1-Claremont-Abbotsdale,Claremont,Abbotsdale
monfri-week-kmzone1-Abbotsdale-Claremont,Abbotsdale,Claremont
monfri-week-kmzone1-Claremont-Abbotsdale,Claremont,Abbotsdale
monsat-week-kmzone1-Abbotsdale-Claremont,Abbotsdale,Claremont
monsat-week-kmzone1-Claremont-Abbotsdale,Claremont,Abbotsdale
month-kmzone1-Abbotsdale-Claremont,Abbotsdale,Claremont
month-kmzone1-Claremont-Abbotsdale,Claremont,Abbotsdale
single-kmzone1-Abbotsdale-Clovelly,Abbotsdale,Clovelly
single-kmzone1-Clovelly-Abbotsdale,Clovelly,Abbotsdale
return-kmzone1-Abbotsdale-Clovelly,Abbotsdale,Clovelly
return-kmzone1-Clovelly-Abbotsdale,Clovelly,Abbotsdale
monfri-week-kmzone1-Abbotsdale-Clovelly,Abbotsdale,Clovelly
monfri-week-kmzone1-Clovelly-Abbotsdale,Clovelly,Abbotsdale
monsat-week-kmzone1-Abbotsdale-Clovelly,Abbotsdale,Clovelly
monsat-week-kmzone1-Clovelly-Abbotsdale,Clovelly,Abbotsdale
month-kmzone1-Abbotsdale-Clovelly,Abbotsdale,Clovelly
month-kmzone1-Clovelly-Abbotsdale,Clovelly,Abbotsdale
single-kmzone1-Abbotsdale-Crawford,Abbotsdale,Crawford
single-kmzone1-Crawford-Abbotsdale,Crawford,Abbotsdale
return-kmzone1-Abbotsdale-Crawford,Abbotsdale,Crawford
return-kmzone1-Crawford-Abbotsdale,Crawford,Abbotsdale
monfri-week-kmzone1-Abbotsdale-Crawford,Abbotsdale,Crawford
monfri-week-kmzone1-Crawford-Abbotsdale,Crawford,Abbotsdale
monsat-week-kmzone1-Abbotsdale-Crawford,Abbotsdale,Crawford
monsat-week-kmzone1-Crawford-Abbotsdale,Crawford,Abbotsdale
month-kmzone1-Abbotsdale-Crawford,Abbotsdale,Crawford
month-kmzone1-Crawford-Abbotsdale,Crawford,Abbotsdale
single-kmzone1-Abbotsdale-Dal Josafat,Abbotsdale,Dal Josafat
single-kmzone1-Dal Josafat-Abbotsdale,Dal Josafat,Abbotsdale
return-kmzone1-Abbotsdale-Dal Josafat,Abbotsdale,Dal Josafat
return-kmzone1-Dal Josafat-Abbotsdale,Dal Josafat,Abbotsdale
monfri-week-kmzone1-Abbotsdale-Dal Josafat,Abbotsdale,Dal Josafat
monfri-week-kmzone1-Dal Josafat-Abbotsdale,Dal Josafat,Abbotsdale
monsat-week-kmzone1-Abbotsdale-Dal Josafat,Abbotsdale,Dal Josafat
monsat-week-kmzone1-Dal Josafat-Abbotsdale,Dal Josafat,Abbotsdale
month-kmzone1-Abbotsdale-Dal Josafat,Abbotsdale,Dal Josafat
month-kmzone1-Dal Josafat-Abbotsdale,Dal Josafat,Abbotsdale
single-kmzone4-Abbotsdale-De Grendel,Abbotsdale,De Grendel
single-kmzone4-De Grendel-Abbotsdale,De Grendel,Abbotsdale
return-kmzone4-Abbotsdale-De Grendel,Abbotsdale,De Grendel
return-kmzone4-De Grendel-Abbotsdale,De Grendel,Abbotsdale
monfri-week-kmzone4-Abbotsdale-De Grendel,Abbotsdale,De Grendel
monfri-week-kmzone4-De Grendel-Abbotsdale,De Grendel,Abbotsdale
monsat-week-kmzone4-Abbotsdale-De Grendel,Abbotsdale,De Grendel
monsat-week-kmzone4-De Grendel-Abbotsdale,De Grendel,Abbotsdale
month-kmzone4-Abbotsdale-De Grendel,Abbotsdale,De Grendel
month-kmzone4-De Grendel-Abbotsdale,De Grendel,Abbotsdale
single-kmzone1-Abbotsdale-Diepriver,Abbotsdale,Diepriver
single-kmzone1-Diepriver-Abbotsdale,Diepriver,Abbotsdale
return-kmzone1-Abbotsdale-Diepriver,Abbotsdale,Diepriver
return-kmzone1-Diepriver-Abbotsdale,Diepriver,Abbotsdale
monfri-week-kmzone1-Abbotsdale-Diepriver,Abbotsdale,Diepriver
monfri-week-kmzone1-Diepriver-Abbotsdale,Diepriver,Abbotsdale
monsat-week-kmzone1-Abbotsdale-Diepriver,Abbotsdale,Diepriver
monsat-week-kmzone1-Diepriver-Abbotsdale,Diepriver,Abbotsdale
month-kmzone1-Abbotsdale-Diepriver,Abbotsdale,Diepriver
month-kmzone1-Diepriver-Abbotsdale,Diepriver,Abbotsdale
single-kmzone1-Abbotsdale-Du Toit,Abbotsdale,Du Toit
single-kmzone1-Du Toit-Abbotsdale,Du Toit,Abbotsdale
return-kmzone1-Abbotsdale-Du Toit,Abbotsdale,Du Toit
return-kmzone1-Du Toit-Abbotsdale,Du Toit,Abbotsdale
monfri-week-kmzone1-Abbotsdale-Du Toit,Abbotsdale,Du Toit
monfri-week-kmzone1-Du Toit-Abbotsdale,Du Toit,Abbotsdale
monsat-week-kmzone1-Abbotsdale-Du Toit,Abbotsdale,Du Toit
monsat-week-kmzone1-Du Toit-Abbotsdale,Du Toit,Abbotsdale
month-kmzone1-Abbotsdale-Du Toit,Abbotsdale,Du Toit
month-kmzone1-Du Toit-Abbotsdale,Du Toit,Abbotsdale
single-kmzone1-Abbotsdale-Eersteriver,Abbotsdale,Eersteriver
single-kmzone1-Eersteriver-Abbotsdale,Eersteriver,Abbotsdale
return-kmzone1-Abbotsdale-Eersteriver,Abbotsdale,Eersteriver
return-kmzone1-Eersteriver-Abbotsdale,Eersteriver,Abbotsdale
monfri-week-kmzone1-Abbotsdale-Eersteriver,Abbotsdale,Eersteriver
monfri-week-kmzone1-Eersteriver-Abbotsdale,Eersteriver,Abbotsdale
monsat-week-kmzone1-Abbotsdale-Eersteriver,Abbotsdale,Eersteriver
monsat-week-kmzone1-Eersteriver-Abbotsdale,Eersteriver,Abbotsdale
month-kmzone1-Abbotsdale-Eersteriver,Abbotsdale,Eersteriver
month-kmzone1-Eersteriver-Abbotsdale,Eersteriver,Abbotsdale
single-kmzone4-Abbotsdale-Eikenfontein,Abbotsdale,Eikenfontein
single-kmzone4-Eikenfontein-Abbotsdale,Eikenfontein,Abbotsdale
return-kmzone4-Abbotsdale-Eikenfontein,Abbotsdale,Eikenfontein
return-kmzone4-Eikenfontein-Abbotsdale,Eikenfontein,Abbotsdale
monfri-week-kmzone4-Abbotsdale-Eikenfontein,Abbotsdale,Eikenfontein
monfri-week-kmzone4-Eikenfontein-Abbotsdale,Eikenfontein,Abbotsdale
monsat-week-kmzone4-Abbotsdale-Eikenfontein,Abbotsdale,Eikenfontein
monsat-week-kmzone4-Eikenfontein-Abbotsdale,Eikenfontein,Abbotsdale
month-kmzone4-Abbotsdale-Eikenfontein,Abbotsdale,Eikenfontein
month-kmzone4-Eikenfontein-Abbotsdale,Eikenfontein,Abbotsdale
single-kmzone4-Abbotsdale-Elsiesrivier,Abbotsdale,Elsiesrivier
single-kmzone4-Elsiesrivier-Abbotsdale,Elsiesrivier,Abbotsdale
return-kmzone4-Abbotsdale-Elsiesrivier,Abbotsdale,Elsiesrivier
return-kmzone4-Elsiesrivier-Abbotsdale,Elsiesrivier,Abbotsdale
monfri-week-kmzone4-Abbotsdale-Elsiesrivier,Abbotsdale,Elsiesrivier
monfri-week-kmzone4-Elsiesrivier-Abbotsdale,Elsiesrivier,Abbotsdale
monsat-week-kmzone4-Abbotsdale-Elsiesrivier,Abbotsdale,Elsiesrivier
monsat-week-kmzone4-Elsiesrivier-Abbotsdale,Elsiesrivier,Abbotsdale
month-kmzone4-Abbotsdale-Elsiesrivier,Abbotsdale,Elsiesrivier
month-kmzone4-Elsiesrivier-Abbotsdale,Elsiesrivier,Abbotsdale
single-kmzone1-Abbotsdale-Esplanade,Abbotsdale,Esplanade
single-kmzone1-Esplanade-Abbotsdale,Esplanade,Abbotsdale
return-kmzone1-Abbotsdale-Esplanade,Abbotsdale,Esplanade
return-kmzone1-Esplanade-Abbotsdale,Esplanade,Abbotsdale
monfri-week-kmzone1-Abbotsdale-Esplanade,Abbotsdale,Esplanade
monfri-week-kmzone1-Esplanade-Abbotsdale,Esplanade,Abbotsdale
monsat-week-kmzone1-Abbotsdale-Esplanade,Abbotsdale,Esplanade
monsat-week-kmzone1-Esplanade-Abbotsdale,Esplanade,Abbotsdale
month-kmzone1-Abbotsdale-Esplanade,Abbotsdale,Esplanade
month-kmzone1-Esplanade-Abbotsdale,Esplanade,Abbotsdale
