shape_id,shape_pt_lat,shape_pt_lon,shape_pt_sequence
sth_line_shape,-34.137336325,18.432511082,1
sth_line_shape,-34.136062297,18.43311106,2
sth_line_shape,-34.135352604,18.433551908,3
sth_line_shape,-34.134133463,18.435112593,4
sth_line_shape,-34.132940022,18.436971642,5
sth_line_shape,-34.132217112,18.438179447,6
sth_line_shape,-34.131879968,18.439035279,7
sth_line_shape,-34.131827834,18.439769684,8
sth_line_shape,-34.131945886,18.440391399,9
sth_line_shape,-34.132304627,18.441819422,10
sth_line_shape,-34.132456319,18.44301624,11
sth_line_shape,-34.132550628,18.444668271,12
sth_line_shape,-34.132510427,18.446123348,13
sth_line_shape,-34.132220731,18.447044875,14
sth_line_shape,-34.131683771,18.447646436,15
sth_line_shape,-34.13080928,18.448257524,16
sth_line_shape,-34.130004971,18.448362618,17
sth_line_shape,-34.128949357,18.448106853,18
sth_line_shape,-34.128065395,18.448188745,19
sth_line_shape,-34.12755123,18.448517207,20
sth_line_shape,-34.127131246,18.448939283,21
sth_line_shape,-34.126239386,18.450130022,22
sth_line_shape,-34.124357272,18.452274562,23
sth_line_shape,-34.122875182,18.453662468,24
sth_line_shape,-34.121753122,18.45529292,25
sth_line_shape,-34.120046489,18.45773424,26
sth_line_shape,-34.119309287,18.458469698,27
sth_line_shape,-34.117909858,18.459850075,28
sth_line_shape,-34.116786454,18.461350264,29
sth_line_shape,-34.115669471,18.463057587,30
sth_line_shape,-34.113317123,18.466044506,31
sth_line_shape,-34.111695973,18.46676271,32
sth_line_shape,-34.110052775,18.467617222,33
sth_line_shape,-34.108905445,18.468328168,34
sth_line_shape,-34.107784232,18.468946067,35
sth_line_shape,-34.104647817,18.469192491,36
sth_line_shape,-34.099720509,18.468125885,37
sth_line_shape,-34.09665508,18.467264444,38
sth_line_shape,-34.093233077,18.465055014,39
sth_line_shape,-34.090410851,18.463130705,40
sth_line_shape,-34.089586076,18.462723564,41
sth_line_shape,-34.088237183,18.462538849,42
sth_line_shape,-34.087317641,18.462396348,43
sth_line_shape,-34.079316019,18.463279379,44
sth_line_shape,-34.075787059,18.463774399,45
sth_line_shape,-34.067979909,18.463393122,46
sth_line_shape,-34.059788415,18.463048225,47
sth_line_shape,-34.056390581,18.462932388,48
sth_line_shape,-34.055431317,18.463042256,49
sth_line_shape,-34.053907553,18.463445178,50
sth_line_shape,-34.051474304,18.464167999,51
sth_line_shape,-34.048544833,18.464923188,52
sth_line_shape,-34.045904633,18.465612263,53
sth_line_shape,-34.043451597,18.46634212,54
sth_line_shape,-34.04271874,18.466414265,55
sth_line_shape,-34.040724088,18.466356581,56
sth_line_shape,-34.039525306,18.466323799,57
sth_line_shape,-34.03786469,18.466353711,58
sth_line_shape,-34.036808428,18.466528324,59
sth_line_shape,-34.034970133,18.467209412,60
sth_line_shape,-34.033029987,18.467733717,61
sth_line_shape,-34.031673648,18.468335874,62
sth_line_shape,-34.031078962,18.468614982,63
sth_line_shape,-34.030094393,18.46884092,64
sth_line_shape,-34.023725223,18.469281347,65
sth_line_shape,-34.021915477,18.469743675,66
sth_line_shape,-34.015622861,18.471204762,67
sth_line_shape,-34.015160793,18.471107404,68
sth_line_shape,-34.01398509,18.470778697,69
sth_line_shape,-34.013153313,18.470477983,70
sth_line_shape,-34.011910595,18.47019347,71
sth_line_shape,-34.010164924,18.470278025,72
sth_line_shape,-34.008811985,18.470247681,73
sth_line_shape,-34.00616658,18.470649728,74
sth_line_shape,-34.004761708,18.471209345,75
sth_line_shape,-34.002534654,18.472608125,76
sth_line_shape,-34.000852915,18.473141172,77
sth_line_shape,-33.99887076,18.473292281,78
sth_line_shape,-33.996472393,18.473082669,79
sth_line_shape,-33.993338256,18.4727385,80
sth_line_shape,-33.990551694,18.472437245,81
sth_line_shape,-33.988377646,18.471422787,82
sth_line_shape,-33.98658717,18.470073697,83
sth_line_shape,-33.984530106,18.46846352,84
sth_line_shape,-33.983055688,18.467594164,85
sth_line_shape,-33.981686622,18.467113376,86
sth_line_shape,-33.980200596,18.466956438,87
sth_line_shape,-33.978988364,18.466899041,88
sth_line_shape,-33.978080972,18.467004232,89
sth_line_shape,-33.976198801,18.467128466,90
sth_line_shape,-33.973814156,18.467680363,91
sth_line_shape,-33.973406673,18.467879848,92
sth_line_shape,-33.969648412,18.469952821,93
sth_line_shape,-33.967642413,18.471067107,94
sth_line_shape,-33.965664014,18.471923556,95
sth_line_shape,-33.964374702,18.472213262,96
sth_line_shape,-33.962363086,18.472382375,97
sth_line_shape,-33.960137415,18.472594388,98
sth_line_shape,-33.957312488,18.472855362,99
sth_line_shape,-33.952517457,18.473452008,100
sth_line_shape,-33.948237172,18.473889783,101
sth_line_shape,-33.947075014,18.474001531,102
sth_line_shape,-33.945477037,18.473801913,103
sth_line_shape,-33.942519871,18.472861558,104
sth_line_shape,-33.937479633,18.471349118,105
sth_line_shape,-33.933641136,18.470225039,106
sth_line_shape,-33.930849808,18.469367919,107
sth_line_shape,-33.92999007,18.469095442,108
sth_line_shape,-33.929140187,18.468497181,109
sth_line_shape,-33.928453274,18.467825927,110
sth_line_shape,-33.928078875,18.467108845,111
sth_line_shape,-33.927745645,18.466225154,112
sth_line_shape,-33.927557578,18.46534475,113
sth_line_shape,-33.927292857,18.464526607,114
sth_line_shape,-33.927141323,18.463451413,115
sth_line_shape,-33.927002375,18.461398587,116
sth_line_shape,-33.926744167,18.459004944,117
sth_line_shape,-33.925807856,18.451200825,118
sth_line_shape,-33.92548338,18.448384558,119
sth_line_shape,-33.925443666,18.446983057,120
sth_line_shape,-33.92543352,18.446115543,121
sth_line_shape,-33.925505666,18.444565002,122
sth_line_shape,-33.92578611,18.442922518,123
sth_line_shape,-33.92610927,18.440772478,124
sth_line_shape,-33.926100899,18.438877244,125
sth_line_shape,-33.926041783,18.437349031,126
sth_line_shape,-33.925937276,18.434734032,127
sth_line_shape,-33.92580778,18.432308949,128
sth_line_shape,-33.925105888,18.42980909,129
sth_line_shape,-33.924407309,18.427833866,130
sth_line_shape,-33.923959366,18.426897166,131
sth_line_shape,-33.922628822,18.425404099,132
sth_line_shape_back,-33.922628822,18.425404099,1
sth_line_shape_back,-33.923959366,18.426897166,2
sth_line_shape_back,-33.924407309,18.427833866,3
sth_line_shape_back,-33.925105888,18.42980909,4
sth_line_shape_back,-33.92580778,18.432308949,5
sth_line_shape_back,-33.925937276,18.434734032,6
sth_line_shape_back,-33.926041783,18.437349031,7
sth_line_shape_back,-33.926100899,18.438877244,8
sth_line_shape_back,-33.92610927,18.440772478,9
sth_line_shape_back,-33.92578611,18.442922518,10
sth_line_shape_back,-33.925505666,18.444565002,11
sth_line_shape_back,-33.92543352,18.446115543,12
sth_line_shape_back,-33.925443666,18.446983057,13
sth_line_shape_back,-33.92548338,18.448384558,14
sth_line_shape_back,-33.925807856,18.451200825,15
sth_line_shape_back,-33.926744167,18.459004944,16
sth_line_shape_back,-33.927002375,18.461398587,17
sth_line_shape_back,-33.927141323,18.463451413,18
sth_line_shape_back,-33.927292857,18.464526607,19
sth_line_shape_back,-33.927557578,18.46534475,20
sth_line_shape_back,-33.927745645,18.466225154,21
sth_line_shape_back,-33.928078875,18.467108845,22
sth_line_shape_back,-33.928453274,18.467825927,23
sth_line_shape_back,-33.929140187,18.468497181,24
sth_line_shape_back,-33.92999007,18.469095442,25
sth_line_shape_back,-33.930849808,18.469367919,26
sth_line_shape_back,-33.933641136,18.470225039,27
sth_line_shape_back,-33.937479633,18.471349118,28
sth_line_shape_back,-33.942519871,18.472861558,29
sth_line_shape_back,-33.945477037,18.473801913,30
sth_line_shape_back,-33.947075014,18.474001531,31
sth_line_shape_back,-33.948237172,18.473889783,32
sth_line_shape_back,-33.952517457,18.473452008,33
sth_line_shape_back,-33.957312488,18.472855362,34
sth_line_shape_back,-33.960137415,18.472594388,35
sth_line_shape_back,-33.962363086,18.472382375,36
sth_line_shape_back,-33.964374702,18.472213262,37
sth_line_shape_back,-33.965664014,18.471923556,38
sth_line_shape_back,-33.967642413,18.471067107,39
sth_line_shape_back,-33.969648412,18.469952821,40
sth_line_shape_back,-33.973406673,18.467879848,41
